item_a,item_b,orders_together,support,confidence_a_to_b,confidence_b_to_a,lift
"Bevis Conference Table, Fully Assembled","Hon Conference Table, with Bottom Storage",2,0.00016,0.4,1.0,2554.2
Boston 16765 Mini Stand Up Battery Pencil Sharpener,Microsoft Natural Ergonomic Keyboard 4000,2,0.00016,0.6667,0.4,1702.8
"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",GBC DocuBind TL300 Electric Binding System,2,0.00016,1.0,0.25,1596.375
Anker Astro Mini 3000mAh Ultra-Compact Portable Charger,Bretford CR8500 Series Meeting Room Furniture,2,0.00016,0.6667,0.3333,1419.0
Acco Side-Punched Conventional Columnar Pads,Avery Fluorescent Highlighter Four-Color Set,2,0.00016,0.5,0.4,1277.1
Belkin Premiere Surge Master II 8-outlet surge protector,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,2,0.00016,0.4,0.5,1277.1
Cisco SPA301,"Seth Thomas 8 1/2"" Cubicle Clock",2,0.00016,0.25,0.6667,1064.25
Hon Rectangular Conference Tables,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,2,0.00016,0.6667,0.25,1064.25
"Hon Conference Table, with Bottom Storage","Jiffy Mailers, Set of 50",2,0.00016,1.0,0.1538,982.385
"Hon Conference Table, with Bottom Storage","Motorola Audio Dock, with Caller ID",2,0.00016,1.0,0.1538,982.385
"Hon Conference Table, with Bottom Storage","Sharp Personal Copier, Laser",2,0.00016,1.0,0.1538,982.385
GBC Plastic Binding Combs,Hon Valutask Swivel Chairs,2,0.00016,0.2222,0.6667,946.0
Cisco SPA508G,Global Commerce Series High-Back Swivel/Tilt Chairs,2,0.00016,0.5,0.2857,912.214
Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),Tennsco Industrial Shelving,2,0.00016,0.5,0.2857,912.214
Acco Hanging Data Binders,Newell 315,2,0.00016,0.2857,0.5,912.214
"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Xerox 1882,2,0.00016,0.2857,0.5,912.214
Avery 485,DMI Eclipse Executive Suite Bookcases,2,0.00016,0.3333,0.4,851.4
GBC Recycled VeloBinder Covers,Wilson Jones Active Use Binders,2,0.00016,0.3333,0.4,851.4
Avery Recycled Flexi-View Covers for Binding Systems,Lumber Crayons,2,0.00016,0.3333,0.4,851.4
Avery 486,Logitech G35 7.1-Channel Surround Sound Headset,2,0.00016,0.3333,0.4,851.4
Avery 505,"OIC #2 Pencils, Medium Soft",2,0.00016,0.3333,0.4,851.4
"Hon Conference Table, with Bottom Storage","Memorex Flash Drive, USB",2,0.00016,1.0,0.125,798.188
Xerox 1894,Xerox 225,2,0.00016,0.5,0.25,798.188
X-Rack File for Hanging Folders,Xerox 192,2,0.00016,0.2857,0.4,729.771
Anker Astro 15000mAh USB Portable Charger,GBC Prestige Therm-A-Bind Covers,2,0.00016,0.4,0.2857,729.771
Acco Perma 4000 Stacking Storage Drawers,Canon imageCLASS 2200 Advanced Copier,2,0.00016,0.2222,0.5,709.5
"Harbour Creations Swivel Stool, Set of Two","Hon Conference Table, with Bottom Storage",2,0.00016,0.1111,1.0,709.5
Acme Value Line Scissors,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,2,0.00016,0.25,0.4,638.55
"DAX Value U-Channel Document Frames, Easel Back",Recycled Easel Ring Binders,2,0.00016,0.4,0.25,638.55
Acco Hot Clips Clips to Go,Flat Face Poster Frame,2,0.00016,0.4,0.2222,567.6
GBC Standard Therm-A-Bind Covers,Google Nexus 5,2,0.00016,0.2222,0.4,567.6
"GBC Standard Recycled Report Covers, Clear Plastic Sheets",O'Sullivan 4-Shelf Bookcase in Odessa Pine,2,0.00016,0.2857,0.2857,521.265
GBC VeloBinder Manual Binding System,Insertable Tab Post Binder Dividers,2,0.00016,0.2857,0.2857,521.265
Eldon Wave Desk Accessories,OIC Binder Clips,2,0.00016,0.1538,0.5,491.192
Carina Double Wide Media Storage Towers in Natural & Black,GBC Wire Binding Combs,2,0.00016,0.2222,0.2857,405.429
Advantus Rolling Storage Box,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),2,0.00016,0.2222,0.2857,405.429
