item_1,item_2,item_3,orders_together,support
Art,Binders,Storage,235,0.01921
Binders,Phones,Storage,172,0.01406
Art,Binders,Phones,161,0.01316
Accessories,Binders,Storage,156,0.01275
Art,Binders,Furnishings,150,0.01226
Binders,Furnishings,Storage,146,0.01193
Binders,Paper,Storage,144,0.01177
Art,Phones,Storage,137,0.0112
Accessories,Art,Binders,137,0.0112
Art,Binders,Paper,134,0.01095
Binders,Chairs,Storage,131,0.01071
Art,Binders,Chairs,130,0.01063
Accessories,Art,Storage,129,0.01054
Binders,Labels,Storage,126,0.0103
Binders,Bookcases,Storage,124,0.01013
Art,Furnishings,Storage,122,0.00997
